t_name,male_14A,male_14B,male_14C,male_14D,female_14A,female_14B,female_14C,female_14D,gene_name
FBtr0076100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7377
FBtr0076145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33268
FBtr0346404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45672
FBtr0345913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45442
FBtr0346403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45671
FBtr0345914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45443
FBtr0110884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7368
FBtr0076144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14137
FBtr0307115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7368
FBtr0273305,0.0,0.0,3.471579,9.313197,0.0,0.0,2.2859279999999997,2.1000330000000003,CG6091
FBtr0273306,0.0,0.0,3.622439,2.144068,0.0,0.0,4.687323999999999,11.304377,CG6091
FBtr0273304,0.0,0.0,0.656611,1.327289,0.0,0.0,1.217085,0.635893,CG6091
FBtr0301145,0.0,0.0,3.736612,2.672663,0.0,0.0,4.94209,10.878822,CG6091
FBtr0303851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG42832
FBtr0076140,0.0,0.012055,0.015969999999999998,0.0,0.012508,0.0,0.0,0.037828,Muc68Ca
FBtr0076139,3.903919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6084
FBtr0331547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6084
FBtr0076138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6084
FBtr0331546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6084
FBtr0076137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6083
FBtr0076102,59.086361,63.980819999999994,56.493584,90.242126,81.614838,56.802872,58.983169999999994,90.194786,PCID2
FBtr0076103,2.3438689999999998,9.787526,0.0,1.7213319999999999,15.417385000000001,6.9540619999999995,4.344972,3.315892,CG18815
FBtr0076104,0.0,0.0,0.0,4.500579,0.0,2.133157,0.0,0.0,CG18815
FBtr0331544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311658,CG18815
FBtr0331545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG18815
FBtr0076105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.805107,CG18815
FBtr0309670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-3642
FBtr0309669,0.0,0.0,0.672651,0.30507399999999996,0.0,0.0,0.6357229999999999,0.0,mir-3642
FBtr0309671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-3642
FBtr0076106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32091
FBtr0344953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45158
FBtr0076136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6071
FBtr0076134,0.0,25.978195,0.0,0.0,27.563761,10.276628,10.866405,0.0,RIOK1
FBtr0076135,121.598251,111.481224,30.619625,8.078807000000001,107.003998,84.48575600000001,24.718191,8.191496,RIOK1
FBtr0076107,0.0,0.8466959999999999,3.054128,7.487877,0.0,1.171085,1.3322049999999999,5.364365,CG7339
FBtr0331530,0.0,0.502921,1.8140919999999998,4.447652,0.0,0.695601,0.791303,3.186327,CG7339
FBtr0076133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32085
FBtr0304420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-274
FBtr0304421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-274
FBtr0346935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45881
FBtr0346936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45880
FBtr0346939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45883
FBtr0346937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45882
FBtr0346938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45884
FBtr0076108,26.521546999999998,23.395121,30.406421999999996,36.709381,18.230762,20.877131,29.376944,44.193943,TfIIEalpha
FBtr0273362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sug
FBtr0300100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sug
FBtr0344966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sug
FBtr0346934,0.18782000000000001,0.0,0.897382,1.3605040000000002,0.758011,0.506734,0.0,0.0,CR45885
FBtr0300097,11.845730999999999,11.55057,18.83832,15.118271,19.683994000000002,15.737404999999999,15.998206,11.841642,Pallidin
FBtr0332762,11.773696000000001,15.005784,11.014576,18.631311,15.915208999999999,11.942111,14.458901000000001,12.077210000000001,CG14135
FBtr0290309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14135
FBtr0332763,236.78694199999998,589.174438,356.275818,1571.12561,642.629822,170.445084,825.371765,760.50647,CR43887
FBtr0076131,13.991467000000002,38.1567,109.237839,65.723946,18.714775,14.50106,95.704414,103.01984399999999,CG11652
FBtr0332766,8.632789,9.063224,6.450044,17.712605,0.0,10.106178,29.893488,25.007404,CG11652
FBtr0076130,65.623131,52.480999,28.950993,79.23739599999999,61.121117000000005,64.427429,23.798389,36.994225,CG11652
FBtr0301326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6053
FBtr0332765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6053
FBtr0076126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11658
FBtr0076125,0.0,0.0,3.595872,0.0,0.0,0.0,0.0,0.0,CG11658
FBtr0076124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11658
FBtr0076127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11658
FBtr0076128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11658
FBtr0302271,25.941035999999997,23.853554000000003,8.792992,10.835349,18.487597,13.688167000000002,6.629898,4.444204,Ccdc56
FBtr0302272,25.941035999999997,19.702328,8.792992,7.571153,18.487597,13.688167000000002,6.629898,4.444204,mtTFB1
FBtr0076123,0.0,0.0,19.455181,50.174145,6.609314,0.0,19.305393,36.303329,crim
FBtr0113334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG14132
FBtr0076114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bmcp
FBtr0076115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bmcp
FBtr0332764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32088
FBtr0076117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08186399999999999,CG32087
FBtr0332132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6024
FBtr0113164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6024
FBtr0076118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gr68a
FBtr0076119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muc68D
FBtr0304290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-314
FBtr0304291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-314
FBtr0304425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-956
FBtr0304426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-956
FBtr0076089,0.0,0.0,0.0,0.50817,0.0,0.0,0.0,0.0,Tim13
FBtr0076087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pi3K68D
FBtr0076088,0.0,6.536852,0.0,0.0,0.0,0.0,0.0,6.0081370000000005,Pi3K68D
FBtr0301816,0.0,1.650016,0.0,0.0,0.0,0.0,0.0,4.264895,Pi3K68D
